time,tank,pred,para,eggs
1,1,0.1,metsch,1
2,1,0.1,metsch,0.375
3,1,0.1,metsch,0.055555556
4,1,0.1,metsch,0.2
5,1,0.1,metsch,0.45
6,1,0.1,metsch,0.6
7,1,0.1,metsch,0.6
8,1,0.1,metsch,0.785714286
1,2,0.1,no metsch,2
2,2,0.1,no metsch,0.333333333
3,2,0.1,no metsch,0.2
4,2,0.1,no metsch,1.416666667
5,2,0.1,no metsch,0.85
6,2,0.1,no metsch,0.6
7,2,0.1,no metsch,0.6
8,2,0.1,no metsch,0.785714286
1,3,0.1,no metsch,1
2,3,0.1,no metsch,0.2
3,3,0.1,no metsch,0.066666667
4,3,0.1,no metsch,0.555555556
5,3,0.1,no metsch,1.142857143
6,3,0.1,no metsch,1.15
7,3,0.1,no metsch,0.058823529
8,3,0.1,no metsch,0.142857143
1,4,1,no metsch,2.454545455
2,4,1,no metsch,4.5
5,4,1,no metsch,3
6,4,1,no metsch,1.818181818
7,4,1,no metsch,0
8,4,1,no metsch,0.285714286
1,5,1,no metsch,0
3,5,1,no metsch,5.4
4,5,1,no metsch,4.9
5,5,1,no metsch,1.55
6,5,1,no metsch,0.45
7,5,1,no metsch,1.111111111
8,5,1,no metsch,1.166666667
1,6,1,no metsch,1.666666667
2,6,1,no metsch,2
3,6,1,no metsch,0
4,6,1,no metsch,1.5
5,6,1,no metsch,2.6
6,6,1,no metsch,1.357142857
7,6,1,no metsch,0.5625
8,6,1,no metsch,0.25
1,7,0,metsch,1.5
2,7,0,metsch,1
3,7,0,metsch,0.65
4,7,0,metsch,0
5,7,0,metsch,0.25
6,7,0,metsch,0.928571429
7,7,0,metsch,1
8,7,0,metsch,2
1,8,0,metsch,1.333333333
2,8,0,metsch,0
3,8,0,metsch,0.05
4,8,0,metsch,0.55
5,8,0,metsch,0.7
6,8,0,metsch,2.1
7,8,0,metsch,0.1
8,8,0,metsch,0.5
1,9,0,metsch,0.5
2,9,0,metsch,0.111111111
3,9,0,metsch,0.166666667
4,9,0,metsch,1
5,9,0,metsch,0.75
6,9,0,metsch,1
7,9,0,metsch,0.555555556
8,9,0,metsch,1.666666667
1,10,1,metsch,2.148148148
1,11,1,metsch,3
1,12,1,metsch,1
1,13,0,no metsch,1.333333333
2,13,0,no metsch,0.833333333
3,13,0,no metsch,0.8
4,13,0,no metsch,0.35
5,13,0,no metsch,0.85
6,13,0,no metsch,1.214285714
7,13,0,no metsch,1.625
8,13,0,no metsch,0.333333333
1,14,0,no metsch,2.2
2,14,0,no metsch,2
3,14,0,no metsch,1.75
4,14,0,no metsch,0.4
5,14,0,no metsch,0.4
6,14,0,no metsch,0.7
7,14,0,no metsch,0.3
8,14,0,no metsch,0.5
1,15,0,no metsch,0
2,15,0,no metsch,0.25
3,15,0,no metsch,0.1
4,15,0,no metsch,0
5,15,0,no metsch,2
6,15,0,no metsch,0.363636364
7,15,0,no metsch,0.266666667
8,15,0,no metsch,0.571428571
1,16,0.5,metsch,1.916666667
2,16,0.5,metsch,1.3
3,16,0.5,metsch,1.055555556
4,16,0.5,metsch,1.416666667
5,16,0.5,metsch,1.058823529
6,16,0.5,metsch,0.8
7,16,0.5,metsch,0.727272727
8,16,0.5,metsch,1
1,17,0.5,metsch,0
2,17,0.5,metsch,0.75
3,17,0.5,metsch,1.357142857
4,17,0.5,metsch,1.6
5,17,0.5,metsch,1.6
6,17,0.5,metsch,1.4
7,17,0.5,metsch,1.25
8,17,0.5,metsch,1.85
1,18,0.5,metsch,0.875
2,18,0.5,metsch,1.777777778
3,18,0.5,metsch,1.4
4,18,0.5,metsch,0
5,18,0.5,metsch,2.714285714
6,18,0.5,metsch,1.923076923
7,18,0.5,metsch,0.7
8,18,0.5,metsch,0.55
1,19,0.5,no metsch,0
2,19,0.5,no metsch,2
3,19,0.5,no metsch,1.636363636
4,19,0.5,no metsch,2.25
5,19,0.5,no metsch,2
6,19,0.5,no metsch,2.6
7,19,0.5,no metsch,0.5
8,19,0.5,no metsch,0.3
1,20,0.5,no metsch,4.125
2,20,0.5,no metsch,6
3,20,0.5,no metsch,4
4,20,0.5,no metsch,1.25
5,20,0.5,no metsch,1
6,20,0.5,no metsch,0.4
7,20,0.5,no metsch,0.583333333
8,20,0.5,no metsch,0.4
1,21,0.5,no metsch,2.875
2,21,0.5,no metsch,1.357142857
3,21,0.5,no metsch,1.105263158
4,21,0.5,no metsch,0.15
5,21,0.5,no metsch,0.4
6,21,0.5,no metsch,0.65
7,21,0.5,no metsch,0.5
8,21,0.5,no metsch,0.65
1,23,0.1,metsch,1.333333333
2,23,0.1,metsch,0.666666667
3,23,0.1,metsch,0.35
4,23,0.1,metsch,0.7
5,23,0.1,metsch,1.35
6,23,0.1,metsch,0.9
7,23,0.1,metsch,0.428571429
8,23,0.1,metsch,0.6
1,24,0.1,metsch,1.142857143
2,24,0.1,metsch,0
3,24,0.1,metsch,0.7
