contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
chaoborusfactor0 No parasites - chaoborusfactor0.1 No parasites,0.4923463552416669,0.342218757436785,39,-0.6030495213107945,1.5877422317941283,1.4386889804911225,0.8336215090601702
chaoborusfactor0 No parasites - chaoborusfactor0.5 No parasites,0.075211336312500085,0.326292782554086,39,-0.9692076523941539,1.119630325019154,0.2305026048194404,0.999997894996532
chaoborusfactor0 No parasites - chaoborusfactor1 No parasites,2.010046040916667,0.32629278255408617,39,0.9656270522100123,3.0544650296233216,6.160252841582491,8.129841148618588e-6
chaoborusfactor0 No parasites - chaoborusfactor0 Parasites,0.41447113608333375,0.3262927825540862,39,-0.6299478526233211,1.4588901247899886,1.270243040128021,0.9042303140782714
chaoborusfactor0 No parasites - chaoborusfactor0.1 Parasites,0.3084491048750003,0.3262927825540861,39,-0.7359698838316541,1.3528680935816548,0.9453139063039863,0.9792847537318548
chaoborusfactor0 No parasites - chaoborusfactor0.5 Parasites,0.35347803908333353,0.3262927825540861,39,-0.6909409496233209,1.397897027789988,1.0833155312736382,0.9565847712198563
chaoborusfactor0 No parasites - chaoborusfactor1 Parasites,2.5129243481250003,0.3262927825540862,39,1.4685053594183455,3.5573433368316554,7.701440186494038,6.434567445534611e-8
chaoborusfactor0.1 No parasites - chaoborusfactor0.5 No parasites,-0.4171350189291668,0.34221875743678487,39,-1.512530895481628,0.6782608576232941,-1.2189133700721257,0.921314159631971
chaoborusfactor0.1 No parasites - chaoborusfactor1 No parasites,1.517699685675,0.34221875743678487,39,0.42230380912253906,2.613095562227461,4.434881644251635,0.001716741809960065
chaoborusfactor0.1 No parasites - chaoborusfactor0 Parasites,-0.07787521915833318,0.3422187574367849,39,-1.1732710957107944,1.017520657394128,-0.2275597624794672,0.9999980738476307
chaoborusfactor0.1 No parasites - chaoborusfactor0.1 Parasites,-0.1838972503666666,0.34221875743678465,39,-1.2792931269191268,0.9114986261857937,-0.5373675357366595,0.9993541088174496
chaoborusfactor0.1 No parasites - chaoborusfactor0.5 Parasites,-0.1388683161583334,0.3422187574367848,39,-1.234264192710794,0.9565275603941273,-0.4057881490729957,0.999899656329841
chaoborusfactor0.1 No parasites - chaoborusfactor1 Parasites,2.020577992883333,0.3422187574367849,39,0.925182116330872,3.1159738694357944,5.904346120643538,1.8267859528298125e-5
chaoborusfactor0.5 No parasites - chaoborusfactor1 No parasites,1.934834704604167,0.32629278255408606,39,0.8904157158975128,2.979253693310821,5.929750236763052,1.6858153064291947e-5
chaoborusfactor0.5 No parasites - chaoborusfactor0 Parasites,0.33925979977083365,0.32629278255408617,39,-0.705159188935821,1.3836787884774884,1.0397404353085808,0.9650688630494315
chaoborusfactor0.5 No parasites - chaoborusfactor0.1 Parasites,0.23323776856250023,0.32629278255408595,39,-0.8111812201441537,1.2776567572691542,0.7148113014845463,0.9960336451818701
chaoborusfactor0.5 No parasites - chaoborusfactor0.5 Parasites,0.27826670277083343,0.32629278255408606,39,-0.7661522859358207,1.3226856914774876,0.852812926454198,0.9885232260690083
chaoborusfactor0.5 No parasites - chaoborusfactor1 Parasites,2.4377130118125003,0.3262927825540861,39,1.393294023105846,3.4821320005191545,7.4709375816746,1.31485561216671e-7
chaoborusfactor1 No parasites - chaoborusfactor0 Parasites,-1.5955749048333332,0.3262927825540861,39,-2.6399938935399874,-0.5511559161266788,-4.89000980145447,4.346234288097328e-4
chaoborusfactor1 No parasites - chaoborusfactor0.1 Parasites,-1.7015969360416667,0.326292782554086,39,-2.7460159247483205,-0.6571779473350128,-5.214938935278507,1.592837277930581e-4
chaoborusfactor1 No parasites - chaoborusfactor0.5 Parasites,-1.6565680018333333,0.32629278255408606,39,-2.7009869905399873,-0.6121490131266791,-5.076937310308853,2.444132738205207e-4
chaoborusfactor1 No parasites - chaoborusfactor1 Parasites,0.5028783072083333,0.32629278255408617,39,-0.5415406814983214,1.547297295914988,1.5411873449115483,0.7806396862030307
chaoborusfactor0 Parasites - chaoborusfactor0.1 Parasites,-0.10602203120833342,0.32629278255408595,39,-1.1504410199149873,0.9383969574983205,-0.3249291338240352,0.9999777343475797
chaoborusfactor0 Parasites - chaoborusfactor0.5 Parasites,-0.060993097000000204,0.32629278255408617,39,-1.1054120857066547,0.9834258917066544,-0.18692750885438297,0.9999995068339023
chaoborusfactor0 Parasites - chaoborusfactor1 Parasites,2.0984532120416666,0.3262927825540861,39,1.0540342233350122,3.1428722007483207,6.431197146366019,3.4487215004874727e-6
chaoborusfactor0.1 Parasites - chaoborusfactor0.5 Parasites,0.04502893420833322,0.326292782554086,39,-0.9993900544983207,1.0894479229149872,0.1380016249696521,0.99999994024297
chaoborusfactor0.1 Parasites - chaoborusfactor1 Parasites,2.20447524325,0.32629278255408595,39,1.1600562545433462,3.248894231956654,6.756126280190058,1.2354502014755298e-6
chaoborusfactor0.5 Parasites - chaoborusfactor1 Parasites,2.159446309041667,0.32629278255408617,39,1.1150273203350123,3.2038652977483215,6.618124655220401,1.9098754647783878e-6
