time,tank,treatment,sampleday,metsch,chaoborus,adultsinfected,adultsnotinfected,juvenilesinfected,juvenilesnotinfected,adultsinfectedadjusted,adultsnotinfectedadjusted,juvenilesinfectedadjusted,juvenilesnotinfectedadjusted,totaldensity,lndensity,logone,adultdensity,juveniledensity,propinfected,densityinfected,lndensityinfected,infectedlnone,propadults
0,1,MLC,Monday,Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,2,NMLC,Monday,No Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,3,NMLC,Monday,No Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,4,NMHC,Monday,No Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,5,NMHC,Monday,No Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,6,NMHC,Monday,No Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,7,M-C,Monday,Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,8,M-C,Monday,Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,9,M-C,Monday,Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,10,MHC,Monday,Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,11,MHC,Monday,Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,12,MHC,Monday,Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,13,NM-C,Monday,No Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,14,NM-C,Monday,No Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,15,NM-C,Monday,No Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,16,MMC,Monday,Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,17,MMC,Monday,Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,18,MMC,Monday,Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,19,NMMC,Monday,No Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,20,NMMC,Monday,No Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,21,NMMC,Monday,No Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,23,MLC,Monday,Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,24,MLC,Monday,Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,27,NMMC,Thursday,No Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,28,NMMC,Thursday,No Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,29,NMMC,Thursday,No Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,30,MLC,Thursday,Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,31,MLC,Thursday,Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,32,MLC,Thursday,Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,35,NM-C,Thursday,No Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,36,NM-C,Thursday,No Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,37,NM-C,Thursday,No Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,38,MMC,Thursday,Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,39,MMC,Thursday,Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,40,MMC,Thursday,Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,41,NMHC,Thursday,No Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,42,NMHC,Thursday,No Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,43,NMHC,Thursday,No Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,44,M-C,Thursday,Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,45,M-C,Thursday,Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,46,M-C,Thursday,Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,47,NMLC,Thursday,No Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,48,NMLC,Thursday,No Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,49,NMLC,Thursday,No Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,50,MHC,Thursday,Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,51,MHC,Thursday,Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,52,MHC,Thursday,Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
1,1,MLC,Monday,Parasites,0.1,0,6,0,50,0,6,0,50,56,4.025351691,4.043051268,6,50,0,0,0,0,0.107142857
1,2,NMLC,Monday,No Parasites,0.1,0,5,0,71,0,5,0,71,76,4.33073334,4.343805422,5,71,0,0,0,0,0.065789474
1,3,NMLC,Monday,No Parasites,0.1,0,9,0,50,0,9,0,50,59,4.077537444,4.094344562,9,50,0,0,0,0,0.152542373
1,4,NMHC,Monday,No Parasites,1,0,11,0,44,0,11,0,44,55,4.007333185,4.025351691,11,44,0,0,0,0,0.2
1,5,NMHC,Monday,No Parasites,1,0,2,0,7,0,2,0,7,9,2.197224577,2.302585093,2,7,0,0,0,0,0.222222222
1,6,NMHC,Monday,No Parasites,1,0,9,0,82,0,9,0,82,91,4.510859507,4.521788577,9,82,0,0,0,0,0.098901099
