time,tank,treatment,day,date,chlorophyll,metsch,chaoborus,chloroln,chlorolog
1,1,MLC,Monday,1/7/19,2.98,metsch,0.1,1.091923301,0.474216264
1,2,NMLC,Monday,1/7/19,2.21,no metsch,0.1,0.792992516,0.344392274
1,3,NMLC,Monday,1/7/19,1.85,no metsch,0.1,0.615185639,0.267171728
1,4,NMHC,Monday,1/7/19,3.74,no metsch,1,1.319085611,0.572871602
1,5,NMHC,Monday,1/7/19,2.46,no metsch,1,0.90016135,0.390935107
1,6,NMHC,Monday,1/7/19,7.21,no metsch,1,1.975468951,0.857935265
1,7,M-C,Monday,1/7/19,2.29,metsch,0,0.828551818,0.359835482
1,8,M-C,Monday,1/7/19,3.68,metsch,0,1.302912752,0.565847819
1,9,M-C,Monday,1/7/19,4.37,metsch,0,1.474763009,0.640481437
1,10,MHC,Monday,1/7/19,7.71,metsch,1,2.042518188,0.887054378
1,11,MHC,Monday,1/7/19,4.04,metsch,1,1.396244692,0.606381365
1,12,MHC,Monday,1/7/19,5.34,metsch,1,1.675225653,0.727541257
1,13,NM-C,Monday,1/7/19,5.54,no metsch,0,1.711994501,0.743509765
1,14,NM-C,Monday,1/7/19,4.06,no metsch,0,1.401182974,0.608526034
1,15,NM-C,Monday,1/7/19,3.18,no metsch,0,1.156881197,0.50242712
1,16,MMC,Monday,1/7/19,2.68,metsch,0.5,0.985816795,0.428134794
1,17,MMC,Monday,1/7/19,3.04,metsch,0.5,1.111857515,0.482873584
1,18,MMC,Monday,1/7/19,2.92,metsch,0.5,1.071583616,0.465382851
1,19,NMMC,Monday,1/7/19,1.96,no metsch,0.5,0.672944473,0.292256071
1,20,NMMC,Monday,1/7/19,5.96,no metsch,0.5,1.785070481,0.77524626
1,21,NMMC,Monday,1/7/19,1.97,no metsch,0.5,0.678033543,0.294466226
1,23,MLC,Monday,1/7/19,2.76,metsch,0.1,1.01523068,0.440909082
1,24,MLC,Monday,1/7/19,2.4,metsch,0.1,0.875468737,0.380211242
1,27,NMMC,Thursday,4/7/19,3.29,no metsch,0.5,1.190887565,0.517195898
1,28,NMMC,Thursday,4/7/19,2.99,no metsch,0.5,1.095273387,0.475671188
1,29,NMMC,Thursday,4/7/19,3.76,no metsch,0.5,1.324418957,0.575187845
1,30,MLC,Thursday,4/7/19,2.26,metsch,0.1,0.815364813,0.354108439
1,31,MLC,Thursday,4/7/19,4.14,metsch,0.1,1.420695788,0.617000341
1,32,MLC,Thursday,4/7/19,0.86,metsch,0.1,-0.15082289,-0.065501549
1,35,NM-C,Thursday,4/7/19,0.55,no metsch,0,-0.597837001,-0.259637311
1,36,NM-C,Thursday,4/7/19,0.51,no metsch,0,-0.673344553,-0.292429824
1,37,NM-C,Thursday,4/7/19,0.8,no metsch,0,-0.223143551,-0.096910013
1,38,MMC,Thursday,4/7/19,3.03,metsch,0.5,1.10856262,0.481442629
1,39,MMC,Thursday,4/7/19,11.09,metsch,0.5,2.406043801,1.044931546
1,40,MMC,Thursday,4/7/19,4.87,metsch,0.5,1.583093937,0.687528961
1,41,NMHC,Thursday,4/7/19,17.05,no metsch,1,2.836150204,1.231724383
1,42,NMHC,Thursday,4/7/19,22.78,no metsch,1,3.125882958,1.35755372
