tank,metsch,chaoborus,loginfdensityAUC,infprevAUC
1,Metsch,0.1,6.403160205,0.407823429
7,Metsch,0,6.378954122,0.507349882
8,Metsch,0,9.785733511,0.945808389
9,Metsch,0,6.364868684,0.499566722
10,Metsch,1,0,0
11,Metsch,1,0,0
12,Metsch,1,0,0
16,Metsch,0.5,4.982350119,0.35189363
17,Metsch,0.5,2.772588723,0.337504601
18,Metsch,0.5,1.956011504,0.074181548
23,Metsch,0.1,5.108007334,0.242956045
24,Metsch,0.1,5.519683702,0.305869644
30,Metsch,0.1,6.530669338,0.286096211
31,Metsch,0.1,9.257238052,0.955023626
32,Metsch,0.1,8.729280879,0.886346868
38,Metsch,0.5,6.045449255,0.2860939
39,Metsch,0.5,0,0
40,Metsch,0.5,10.44757915,0.774594233
44,Metsch,0,9.909516279,1.171763915
45,Metsch,0,7.295295874,0.579018171
46,Metsch,0,8.365363678,0.755646578
50,Metsch,1,0.346573591,0.166666667
51,Metsch,1,0,0
52,Metsch,1,0,0
