time,day,date,tank,metsch,chaoborus,daphnia,serial,size,infection,eggs,chaoborus_notes
1,Monday,7/1/19,1,Metsch,0.1,1,1,71,NI,1,
1,Monday,7/1/19,1,Metsch,0.1,2,2,68,NI,0,
1,Monday,7/1/19,1,Metsch,0.1,3,3,63,NI,1,
1,Monday,7/1/19,1,Metsch,0.1,4,4,87,NI,1,
1,Monday,7/1/19,1,Metsch,0.1,5,5,69,NI,2,
1,Monday,7/1/19,1,Metsch,0.1,6,6,72,NI,1,
1,Monday,7/1/19,2,No Metsch,0.1,1,21,80,NI,3,
1,Monday,7/1/19,2,No Metsch,0.1,2,22,76,NI,4,
1,Monday,7/1/19,2,No Metsch,0.1,3,23,60,NI,1,
1,Monday,7/1/19,2,No Metsch,0.1,5,25,62,NI,0,
1,Monday,7/1/19,3,No Metsch,0.1,1,41,85,NI,3,
1,Monday,7/1/19,3,No Metsch,0.1,2,42,71,NI,0,
1,Monday,7/1/19,3,No Metsch,0.1,3,43,77,NI,1,
1,Monday,7/1/19,3,No Metsch,0.1,4,44,84,NI,4,
1,Monday,7/1/19,3,No Metsch,0.1,5,45,70,NI,0,
1,Monday,7/1/19,3,No Metsch,0.1,6,46,63,NI,0,
1,Monday,7/1/19,3,No Metsch,0.1,7,47,73,NI,0,
1,Monday,7/1/19,3,No Metsch,0.1,8,48,82,NI,1,
1,Monday,7/1/19,3,No Metsch,0.1,9,49,60,NI,0,
1,Monday,7/1/19,4,No Metsch,1,1,61,53,NI,0,
1,Monday,7/1/19,4,No Metsch,1,2,62,63,NI,1,
1,Monday,7/1/19,4,No Metsch,1,3,63,85,NI,7,
1,Monday,7/1/19,4,No Metsch,1,4,64,76,NI,5,
1,Monday,7/1/19,4,No Metsch,1,5,65,87,NI,2,
1,Monday,7/1/19,4,No Metsch,1,6,66,86,NI,8,
1,Monday,7/1/19,4,No Metsch,1,7,67,68,NI,0,
1,Monday,7/1/19,4,No Metsch,1,8,68,72,NI,1,
1,Monday,7/1/19,4,No Metsch,1,9,69,72,NI,0,
1,Monday,7/1/19,4,No Metsch,1,10,70,87,NI,3,
1,Monday,7/1/19,4,No Metsch,1,11,71,53,NI,0,
1,Monday,7/1/19,5,No Metsch,1,1,81,75,NI,0,
1,Monday,7/1/19,5,No Metsch,1,2,82,76,NI,0,
1,Monday,7/1/19,6,No Metsch,1,1,101,65,NI,3,
1,Monday,7/1/19,6,No Metsch,1,2,102,63,NI,2,
1,Monday,7/1/19,6,No Metsch,1,3,103,65,NI,0,
1,Monday,7/1/19,6,No Metsch,1,4,104,59,NI,0,
1,Monday,7/1/19,6,No Metsch,1,5,105,78,NI,3,
1,Monday,7/1/19,6,No Metsch,1,6,106,83,NI,0,
1,Monday,7/1/19,6,No Metsch,1,7,107,67,NI,3,
1,Monday,7/1/19,6,No Metsch,1,8,108,63,NI,2,
1,Monday,7/1/19,6,No Metsch,1,9,109,63,NI,2,
1,Monday,7/1/19,7,Metsch,0,1,121,68,NI,0,
