tank,time,meaneggs,n,pred,para
1,1,1,6,0.1,metsch
1,2,0.375,8,0.1,metsch
1,3,0.055555556,18,0.1,metsch
1,4,0.2,15,0.1,metsch
1,5,0.45,20,0.1,metsch
1,6,0.8,20,0.1,metsch
1,7,.,0,0.1,metsch
1,8,.,0,0.1,metsch
2,1,2,4,0.1,no metsch
2,2,0.333333333,6,0.1,no metsch
2,3,0.2,20,0.1,no metsch
2,4,1.416666667,12,0.1,no metsch
2,5,0.85,20,0.1,no metsch
2,6,0.6,20,0.1,no metsch
2,7,0.6,20,0.1,no metsch
2,8,0.785714286,14,0.1,no metsch
3,1,1,9,0.1,no metsch
3,2,0.2,5,0.1,no metsch
3,3,0.066666667,15,0.1,no metsch
3,4,0.555555556,9,0.1,no metsch
3,5,1.142857143,7,0.1,no metsch
3,6,1.15,20,0.1,no metsch
3,7,0.058823529,17,0.1,no metsch
3,8,0.142857143,7,0.1,no metsch
4,1,2.454545455,11,1,no metsch
4,2,4.5,2,1,no metsch
4,3,.,0,1,no metsch
4,4,.,0,1,no metsch
4,5,3,3,1,no metsch
4,6,1.818181818,11,1,no metsch
4,7,0,7,1,no metsch
4,8,0.285714286,7,1,no metsch
5,1,0,2,1,no metsch
5,2,.,0,1,no metsch
5,3,5.4,5,1,no metsch
5,4,4.9,10,1,no metsch
5,5,1.55,20,1,no metsch
5,6,0.45,20,1,no metsch
5,7,1.111111111,18,1,no metsch
5,8,1.166666667,18,1,no metsch
6,1,1.666666667,9,1,no metsch
6,2,2,1,1,no metsch
6,3,1.5,10,1,no metsch
6,4,1.5,2,1,no metsch
6,5,2.6,5,1,no metsch
6,6,1.357142857,14,1,no metsch
6,7,0.5625,16,1,no metsch
6,8,0.25,12,1,no metsch
7,1,1.5,6,0,metsch
7,2,1,2,0,metsch
7,3,0.846153846,26,0,metsch
7,4,0,18,0,metsch
7,5,0.25,20,0,metsch
7,6,0.928571429,14,0,metsch
7,7,1,16,0,metsch
7,8,2,7,0,metsch
8,1,1.333333333,12,0,metsch
8,2,0,4,0,metsch
8,3,0.53125,32,0,metsch
8,4,0.55,20,0,metsch
8,5,0.7,20,0,metsch
8,6,2.1,20,0,metsch
8,7,0.1,20,0,metsch
8,8,0.5,2,0,metsch
9,1,0.5,4,0,metsch
9,2,0.111111111,9,0,metsch
9,3,0.25,16,0,metsch
9,4,1,2,0,metsch
9,5,0.75,8,0,metsch
9,6,1,10,0,metsch
9,7,0.555555556,9,0,metsch
9,8,1.666666667,3,0,metsch
10,1,3.166666667,12,1,metsch
10,2,.,0,1,metsch
10,3,3.166666667,12,1,metsch
10,4,.,0,1,metsch
10,5,.,0,1,metsch
10,6,.,0,1,metsch
10,7,.,0,1,metsch
10,8,.,0,1,metsch
11,1,3,1,1,metsch
11,2,.,0,1,metsch
11,3,.,0,1,metsch
11,4,.,0,1,metsch
11,5,.,0,1,metsch
11,6,.,0,1,metsch
11,7,.,0,1,metsch
11,8,.,0,1,metsch
12,1,1,5,1,metsch
12,2,.,0,1,metsch
12,3,.,0,1,metsch
12,4,.,0,1,metsch
12,5,.,0,1,metsch
12,6,.,0,1,metsch
12,7,.,0,1,metsch
12,8,.,0,1,metsch
13,1,1.333333333,9,0,no metsch
13,2,0.833333333,18,0,no metsch
13,3,0.8,20,0,no metsch
13,4,0.35,20,0,no metsch
13,5,0.85,20,0,no metsch
13,6,1.214285714,14,0,no metsch
13,7,1.625,8,0,no metsch
13,8,0.333333333,9,0,no metsch
